id,nombre,correo,telefono,mascotas
1112,Alicia Williams,susan35@example.net,6668350885,"[{'id': 5208, 'nombre': 'Thomas', 'especie': 'Iguana', 'raza': 'very', 'edad': 4, 'propietario': 1112}, {'id': 7716, 'nombre': 'Ashley', 'especie': 'Conejo', 'raza': 'blue', 'edad': 3, 'propietario': 1112}]"
1113,Danielle Proctor,kaufmancharles@example.org,815558311522718,"[{'id': 46, 'nombre': 'Amanda', 'especie': 'Loro', 'raza': 'actually', 'edad': 1, 'propietario': 1113}, {'id': 221, 'nombre': 'Jennifer', 'especie': 'Loro', 'raza': 'course', 'edad': 16, 'propietario': 1113}, {'id': 3384, 'nombre': 'Kathryn', 'especie': 'Conejo', 'raza': 'through', 'edad': 12, 'propietario': 1113}, {'id': 5763, 'nombre': 'Christopher', 'especie': 'Perro', 'raza': 'smile', 'edad': 12, 'propietario': 1113}]"
1114,Brian Carr,rossmelissa@example.org,983513377552436,"[{'id': 8277, 'nombre': 'John', 'especie': 'Conejo', 'raza': 'bill', 'edad': 16, 'propietario': 1114}, {'id': 8954, 'nombre': 'Isaac', 'especie': 'Conejo', 'raza': 'line', 'edad': 17, 'propietario': 1114}]"
1115,Kristen Rivas,jesse87@example.org,3053685627,"[{'id': 948, 'nombre': 'Leslie', 'especie': 'Perro', 'raza': 'not', 'edad': 8, 'propietario': 1115}, {'id': 4057, 'nombre': 'Robert', 'especie': 'Iguana', 'raza': 'heavy', 'edad': 6, 'propietario': 1115}, {'id': 6241, 'nombre': 'Andrew', 'especie': 'Perro', 'raza': 'but', 'edad': 9, 'propietario': 1115}, {'id': 6798, 'nombre': 'Anna', 'especie': 'Gato', 'raza': 'pay', 'edad': 3, 'propietario': 1115}, {'id': 7465, 'nombre': 'Jessica', 'especie': 'Gato', 'raza': 'wind', 'edad': 20, 'propietario': 1115}]"
1116,Brianna Griffin,cvalencia@example.org,1603441922137286,"[{'id': 2955, 'nombre': 'Kristina', 'especie': 'Perro', 'raza': 'parent', 'edad': 20, 'propietario': 1116}, {'id': 4566, 'nombre': 'Jacqueline', 'especie': 'Gato', 'raza': 'me', 'edad': 14, 'propietario': 1116}, {'id': 5965, 'nombre': 'Susan', 'especie': 'Iguana', 'raza': 'beyond', 'edad': 1, 'propietario': 1116}, {'id': 8011, 'nombre': 'Ryan', 'especie': 'Iguana', 'raza': 'glass', 'edad': 10, 'propietario': 1116}, {'id': 10977, 'nombre': 'Jessica', 'especie': 'Gato', 'raza': 'TV', 'edad': 4, 'propietario': 1116}]"
1117,Benjamin Pratt,joseph68@example.com,778545324008544,"[{'id': 3871, 'nombre': 'Cynthia', 'especie': 'Perro', 'raza': 'paper', 'edad': 15, 'propietario': 1117}, {'id': 4763, 'nombre': 'Marcia', 'especie': 'Conejo', 'raza': 'quickly', 'edad': 16, 'propietario': 1117}]"
1118,Jacob Robertson,dawndelgado@example.net,2118003156210,"[{'id': 9766, 'nombre': 'Kimberly', 'especie': 'Conejo', 'raza': 'guy', 'edad': 8, 'propietario': 1118}, {'id': 9865, 'nombre': 'Sherri', 'especie': 'Conejo', 'raza': 'finish', 'edad': 14, 'propietario': 1118}]"
1119,Dr. Emily Mayer,thomascasey@example.net,13959639551,[]
1120,Dr. Joshua Chang,salazarmatthew@example.net,001288904885462329,"[{'id': 11239, 'nombre': 'Danny', 'especie': 'Perro', 'raza': 'manager', 'edad': 1, 'propietario': 1120}]"
1121,Russell Ross,michaeljohnson@example.org,4108634468,"[{'id': 11846, 'nombre': 'Lindsey', 'especie': 'Gato', 'raza': 'involve', 'edad': 6, 'propietario': 1121}]"
1122,Christy Stone,qbailey@example.com,14747407487703,"[{'id': 6337, 'nombre': 'William', 'especie': 'Gato', 'raza': 'local', 'edad': 17, 'propietario': 1122}, {'id': 6528, 'nombre': 'Olivia', 'especie': 'Perro', 'raza': 'defense', 'edad': 3, 'propietario': 1122}, {'id': 11638, 'nombre': 'Melissa', 'especie': 'Loro', 'raza': 'keep', 'edad': 8, 'propietario': 1122}]"
1123,Victoria Sullivan,riveracynthia@example.org,001410676029982854,"[{'id': 659, 'nombre': 'Robert', 'especie': 'Loro', 'raza': 'born', 'edad': 2, 'propietario': 1123}, {'id': 6379, 'nombre': 'Christopher', 'especie': 'Perro', 'raza': 'commercial', 'edad': 8, 'propietario': 1123}, {'id': 10550, 'nombre': 'Ebony', 'especie': 'Loro', 'raza': 'rise', 'edad': 15, 'propietario': 1123}]"
1124,Kevin Peterson,jjohnston@example.net,0014739290606036,"[{'id': 5080, 'nombre': 'Meredith', 'especie': 'Iguana', 'raza': 'field', 'edad': 17, 'propietario': 1124}, {'id': 5277, 'nombre': 'Brian', 'especie': 'Conejo', 'raza': 'small', 'edad': 4, 'propietario': 1124}]"
1125,Breanna Mendoza,elliotttodd@example.org,0015669675531,"[{'id': 7774, 'nombre': 'Anna', 'especie': 'Iguana', 'raza': 'life', 'edad': 18, 'propietario': 1125}, {'id': 10504, 'nombre': 'Nathan', 'especie': 'Gato', 'raza': 'kid', 'edad': 17, 'propietario': 1125}]"
1126,Janet Rogers,deborahmays@example.com,972814813425093,"[{'id': 7606, 'nombre': 'Christopher', 'especie': 'Conejo', 'raza': 'change', 'edad': 20, 'propietario': 1126}]"
1127,Brittany Peterson,tjones@example.org,0012313681711,"[{'id': 10396, 'nombre': 'Ricardo', 'especie': 'Loro', 'raza': 'husband', 'edad': 17, 'propietario': 1127}]"
1128,Yolanda Anderson,thughes@example.org,1933238599440248,"[{'id': 857, 'nombre': 'Jose', 'especie': 'Conejo', 'raza': 'mind', 'edad': 12, 'propietario': 1128}, {'id': 11097, 'nombre': 'Ryan', 'especie': 'Conejo', 'raza': 'nature', 'edad': 18, 'propietario': 1128}]"
1129,Jennifer Parker,elopez@example.net,1830886253019780,"[{'id': 4507, 'nombre': 'Cameron', 'especie': 'Perro', 'raza': 'all', 'edad': 2, 'propietario': 1129}, {'id': 4884, 'nombre': 'Amanda', 'especie': 'Loro', 'raza': 'worry', 'edad': 18, 'propietario': 1129}, {'id': 7569, 'nombre': 'Logan', 'especie': 'Iguana', 'raza': 'rest', 'edad': 20, 'propietario': 1129}, {'id': 7992, 'nombre': 'Glenn', 'especie': 'Perro', 'raza': 'later', 'edad': 1, 'propietario': 1129}]"
1130,Gary Powers,xjordan@example.com,136625087547055,"[{'id': 1384, 'nombre': 'Angela', 'especie': 'Iguana', 'raza': 'build', 'edad': 1, 'propietario': 1130}, {'id': 10043, 'nombre': 'Roberto', 'especie': 'Gato', 'raza': 'pull', 'edad': 8, 'propietario': 1130}]"
1131,Jennifer Pierce,travis76@example.com,780819250434140,"[{'id': 5922, 'nombre': 'Scott', 'especie': 'Conejo', 'raza': 'alone', 'edad': 1, 'propietario': 1131}]"
1132,Andrew Thompson,mary97@example.org,8328993274536,"[{'id': 3550, 'nombre': 'Megan', 'especie': 'Gato', 'raza': 'people', 'edad': 6, 'propietario': 1132}, {'id': 4963, 'nombre': 'William', 'especie': 'Loro', 'raza': 'behavior', 'edad': 11, 'propietario': 1132}]"
1133,Christian Smith,ehampton@example.org,3654272318,"[{'id': 2411, 'nombre': 'Dawn', 'especie': 'Iguana', 'raza': 'into', 'edad': 19, 'propietario': 1133}, {'id': 8007, 'nombre': 'Nancy', 'especie': 'Perro', 'raza': 'sound', 'edad': 6, 'propietario': 1133}]"
1134,Eric Dyer,kevin39@example.net,1261745292787032,"[{'id': 290, 'nombre': 'Timothy', 'especie': 'Perro', 'raza': 'law', 'edad': 14, 'propietario': 1134}, {'id': 744, 'nombre': 'James', 'especie': 'Conejo', 'raza': 'leader', 'edad': 2, 'propietario': 1134}, {'id': 7779, 'nombre': 'Kristen', 'especie': 'Gato', 'raza': 'stand', 'edad': 11, 'propietario': 1134}, {'id': 8255, 'nombre': 'William', 'especie': 'Loro', 'raza': 'consider', 'edad': 6, 'propietario': 1134}]"
1135,Amanda Carter,jessica53@example.org,345299129780279,"[{'id': 3813, 'nombre': 'Margaret', 'especie': 'Perro', 'raza': 'far', 'edad': 12, 'propietario': 1135}, {'id': 5231, 'nombre': 'Alexandra', 'especie': 'Conejo', 'raza': 'summer', 'edad': 5, 'propietario': 1135}, {'id': 6244, 'nombre': 'Sarah', 'especie': 'Perro', 'raza': 'real', 'edad': 7, 'propietario': 1135}]"
1136,Matthew May,lawrencechristopher@example.net,62582708234789,"[{'id': 7226, 'nombre': 'Brett', 'especie': 'Perro', 'raza': 'necessary', 'edad': 1, 'propietario': 1136}, {'id': 11797, 'nombre': 'David', 'especie': 'Loro', 'raza': 'benefit', 'edad': 7, 'propietario': 1136}, {'id': 11881, 'nombre': 'Julie', 'especie': 'Perro', 'raza': 'kind', 'edad': 20, 'propietario': 1136}, {'id': 12028, 'nombre': 'Justin', 'especie': 'Loro', 'raza': 'only', 'edad': 17, 'propietario': 1136}]"
1137,Paige Cannon,sdiaz@example.org,3395192834172,"[{'id': 1340, 'nombre': 'Natalie', 'especie': 'Perro', 'raza': 'business', 'edad': 16, 'propietario': 1137}, {'id': 7119, 'nombre': 'David', 'especie': 'Perro', 'raza': 'respond', 'edad': 14, 'propietario': 1137}, {'id': 10682, 'nombre': 'Lauren', 'especie': 'Conejo', 'raza': 'much', 'edad': 6, 'propietario': 1137}]"
1138,Jose Morgan,dwhite@example.net,15435331352626,"[{'id': 116, 'nombre': 'Amy', 'especie': 'Gato', 'raza': 'high', 'edad': 12, 'propietario': 1138}, {'id': 646, 'nombre': 'Joshua', 'especie': 'Conejo', 'raza': 'question', 'edad': 10, 'propietario': 1138}, {'id': 3404, 'nombre': 'Christopher', 'especie': 'Gato', 'raza': 'themselves', 'edad': 6, 'propietario': 1138}, {'id': 5647, 'nombre': 'Edward', 'especie': 'Conejo', 'raza': 'sense', 'edad': 7, 'propietario': 1138}]"
1139,Tracy Patterson,goodveronica@example.org,22434967557470,"[{'id': 9815, 'nombre': 'Daniel', 'especie': 'Gato', 'raza': 'west', 'edad': 20, 'propietario': 1139}, {'id': 11848, 'nombre': 'Michelle', 'especie': 'Gato', 'raza': 'bill', 'edad': 4, 'propietario': 1139}]"
1140,Daniel Chan,mariobrown@example.net,70467957059486,"[{'id': 6530, 'nombre': 'Anthony', 'especie': 'Loro', 'raza': 'move', 'edad': 11, 'propietario': 1140}, {'id': 10152, 'nombre': 'Patricia', 'especie': 'Iguana', 'raza': 'majority', 'edad': 7, 'propietario': 1140}]"
1141,Natasha Lloyd,kentmichael@example.com,890229876024972,"[{'id': 12230, 'nombre': 'William', 'especie': 'Gato', 'raza': 'develop', 'edad': 5, 'propietario': 1141}]"
1142,Loretta Ingram,zibarra@example.com,9625812160,"[{'id': 2181, 'nombre': 'Jonathan', 'especie': 'Conejo', 'raza': 'forward', 'edad': 1, 'propietario': 1142}]"
1143,Eugene Thompson,michael74@example.org,343874502684187,"[{'id': 5398, 'nombre': 'Stephanie', 'especie': 'Conejo', 'raza': 'capital', 'edad': 8, 'propietario': 1143}, {'id': 12108, 'nombre': 'Leslie', 'especie': 'Conejo', 'raza': 'father', 'edad': 20, 'propietario': 1143}]"
1144,Javier Valdez,colemandawn@example.com,8968886275,"[{'id': 6362, 'nombre': 'Ashlee', 'especie': 'Conejo', 'raza': 'today', 'edad': 2, 'propietario': 1144}, {'id': 10864, 'nombre': 'Erin', 'especie': 'Gato', 'raza': 'side', 'edad': 1, 'propietario': 1144}]"
1145,Elizabeth Barrett,amandagonzalez@example.org,124545292133954,"[{'id': 7434, 'nombre': 'Diana', 'especie': 'Iguana', 'raza': 'cover', 'edad': 18, 'propietario': 1145}, {'id': 10523, 'nombre': 'Ryan', 'especie': 'Conejo', 'raza': 'magazine', 'edad': 6, 'propietario': 1145}, {'id': 10820, 'nombre': 'Paula', 'especie': 'Conejo', 'raza': 'coach', 'edad': 5, 'propietario': 1145}]"
1146,John Estrada,powelldavid@example.net,00175081338646492,"[{'id': 902, 'nombre': 'Brandon', 'especie': 'Loro', 'raza': 'fund', 'edad': 20, 'propietario': 1146}, {'id': 11372, 'nombre': 'Cameron', 'especie': 'Conejo', 'raza': 'forget', 'edad': 13, 'propietario': 1146}]"
1147,Michael Stewart,harringtonchristina@example.net,7887558400,"[{'id': 3005, 'nombre': 'Gerald', 'especie': 'Iguana', 'raza': 'most', 'edad': 12, 'propietario': 1147}, {'id': 6375, 'nombre': 'Christopher', 'especie': 'Iguana', 'raza': 'couple', 'edad': 16, 'propietario': 1147}, {'id': 10647, 'nombre': 'Alexis', 'especie': 'Conejo', 'raza': 'development', 'edad': 11, 'propietario': 1147}]"
1148,Laurie Caldwell,laura00@example.org,8239067761,[]
1149,Kelsey Miller,choward@example.com,2427071571,"[{'id': 4378, 'nombre': 'Gregory', 'especie': 'Iguana', 'raza': 'type', 'edad': 13, 'propietario': 1149}]"
1150,Randall Nguyen,tylerhowe@example.net,19179024381432,"[{'id': 2309, 'nombre': 'Hannah', 'especie': 'Iguana', 'raza': 'develop', 'edad': 19, 'propietario': 1150}, {'id': 4173, 'nombre': 'Debbie', 'especie': 'Conejo', 'raza': 'major', 'edad': 5, 'propietario': 1150}, {'id': 4598, 'nombre': 'John', 'especie': 'Perro', 'raza': 'child', 'edad': 11, 'propietario': 1150}]"
1151,Mr. Richard Johnson,bjohnson@example.org,00131464223020148,"[{'id': 7382, 'nombre': 'Laura', 'especie': 'Loro', 'raza': 'place', 'edad': 18, 'propietario': 1151}]"
1152,Tyrone Mitchell,brittanywatson@example.org,6066902126373,"[{'id': 3284, 'nombre': 'John', 'especie': 'Loro', 'raza': 'low', 'edad': 20, 'propietario': 1152}, {'id': 7244, 'nombre': 'David', 'especie': 'Gato', 'raza': 'contain', 'edad': 5, 'propietario': 1152}]"
1153,Lauren Waters,zedwards@example.org,9705224919,"[{'id': 1020, 'nombre': 'Jamie', 'especie': 'Conejo', 'raza': 'star', 'edad': 12, 'propietario': 1153}, {'id': 7179, 'nombre': 'Johnny', 'especie': 'Iguana', 'raza': 'matter', 'edad': 13, 'propietario': 1153}]"
1154,Ross Hutchinson,phamdanielle@example.com,910302558609270,"[{'id': 2211, 'nombre': 'Thomas', 'especie': 'Loro', 'raza': 'know', 'edad': 6, 'propietario': 1154}, {'id': 3975, 'nombre': 'Michael', 'especie': 'Perro', 'raza': 'million', 'edad': 6, 'propietario': 1154}, {'id': 9229, 'nombre': 'Julie', 'especie': 'Loro', 'raza': 'down', 'edad': 18, 'propietario': 1154}, {'id': 11977, 'nombre': 'Alicia', 'especie': 'Gato', 'raza': 'several', 'edad': 5, 'propietario': 1154}]"
1155,Victoria Chambers,campbelleric@example.org,86474620108698,"[{'id': 1148, 'nombre': 'Mackenzie', 'especie': 'Loro', 'raza': 'produce', 'edad': 2, 'propietario': 1155}, {'id': 1609, 'nombre': 'Brian', 'especie': 'Perro', 'raza': 'kitchen', 'edad': 7, 'propietario': 1155}, {'id': 10725, 'nombre': 'Thomas', 'especie': 'Perro', 'raza': 'democratic', 'edad': 20, 'propietario': 1155}, {'id': 11417, 'nombre': 'Daryl', 'especie': 'Iguana', 'raza': 'whatever', 'edad': 14, 'propietario': 1155}]"
1156,Adam Gallagher,jeanette68@example.org,3018971600,"[{'id': 1572, 'nombre': 'Crystal', 'especie': 'Conejo', 'raza': 'necessary', 'edad': 17, 'propietario': 1156}, {'id': 5868, 'nombre': 'Amy', 'especie': 'Perro', 'raza': 'suggest', 'edad': 6, 'propietario': 1156}, {'id': 10406, 'nombre': 'John', 'especie': 'Conejo', 'raza': 'feeling', 'edad': 9, 'propietario': 1156}]"
1157,David Goodman,amy01@example.com,7323119234,"[{'id': 2428, 'nombre': 'Marissa', 'especie': 'Conejo', 'raza': 'compare', 'edad': 10, 'propietario': 1157}]"
1158,Shane Walker,baguirre@example.net,0019488629041119,[]
1159,Sally Smith,mnunez@example.net,134568308747663,"[{'id': 1312, 'nombre': 'Janet', 'especie': 'Conejo', 'raza': 'our', 'edad': 6, 'propietario': 1159}, {'id': 1481, 'nombre': 'Tina', 'especie': 'Perro', 'raza': 'stock', 'edad': 4, 'propietario': 1159}, {'id': 4693, 'nombre': 'Christopher', 'especie': 'Iguana', 'raza': 'when', 'edad': 12, 'propietario': 1159}]"
1160,Douglas Allen,tami49@example.net,6007774269,"[{'id': 7941, 'nombre': 'Megan', 'especie': 'Loro', 'raza': 'push', 'edad': 7, 'propietario': 1160}, {'id': 8769, 'nombre': 'Angela', 'especie': 'Gato', 'raza': 'share', 'edad': 16, 'propietario': 1160}]"
1161,Melissa Robles,samantha68@example.net,17155845683,"[{'id': 1593, 'nombre': 'Cynthia', 'especie': 'Conejo', 'raza': 'garden', 'edad': 8, 'propietario': 1161}, {'id': 2223, 'nombre': 'Tiffany', 'especie': 'Perro', 'raza': 'painting', 'edad': 9, 'propietario': 1161}, {'id': 5306, 'nombre': 'Jodi', 'especie': 'Iguana', 'raza': 'artist', 'edad': 14, 'propietario': 1161}, {'id': 6372, 'nombre': 'Victor', 'especie': 'Iguana', 'raza': 'serve', 'edad': 16, 'propietario': 1161}, {'id': 7225, 'nombre': 'Paige', 'especie': 'Conejo', 'raza': 'happen', 'edad': 3, 'propietario': 1161}, {'id': 8807, 'nombre': 'Jessica', 'especie': 'Conejo', 'raza': 'light', 'edad': 1, 'propietario': 1161}]"
1162,Nicole Gordon,justin16@example.net,5972112864,"[{'id': 578, 'nombre': 'Melissa', 'especie': 'Iguana', 'raza': 'worry', 'edad': 13, 'propietario': 1162}, {'id': 5655, 'nombre': 'John', 'especie': 'Gato', 'raza': 'up', 'edad': 10, 'propietario': 1162}, {'id': 6957, 'nombre': 'Jacob', 'especie': 'Loro', 'raza': 'pretty', 'edad': 19, 'propietario': 1162}, {'id': 10215, 'nombre': 'April', 'especie': 'Iguana', 'raza': 'full', 'edad': 19, 'propietario': 1162}]"
1163,Mr. Mark Lutz,ashleywalters@example.net,3638426714,[]
1164,Mark Hurley,owright@example.org,18182367952629,"[{'id': 8814, 'nombre': 'John', 'especie': 'Gato', 'raza': 'approach', 'edad': 6, 'propietario': 1164}, {'id': 9889, 'nombre': 'Maria', 'especie': 'Conejo', 'raza': 'pattern', 'edad': 20, 'propietario': 1164}, {'id': 11048, 'nombre': 'Stacy', 'especie': 'Iguana', 'raza': 'meet', 'edad': 20, 'propietario': 1164}]"
1165,Brandi Hensley MD,jennifer06@example.org,185583825323734,"[{'id': 1774, 'nombre': 'Elizabeth', 'especie': 'Gato', 'raza': 'water', 'edad': 20, 'propietario': 1165}, {'id': 2522, 'nombre': 'Joseph', 'especie': 'Perro', 'raza': 'pattern', 'edad': 10, 'propietario': 1165}, {'id': 11318, 'nombre': 'Christine', 'especie': 'Loro', 'raza': 'professor', 'edad': 17, 'propietario': 1165}]"
1166,Marie Cook,millerkimberly@example.com,6232595781223,"[{'id': 266, 'nombre': 'Tina', 'especie': 'Perro', 'raza': 'structure', 'edad': 5, 'propietario': 1166}, {'id': 10982, 'nombre': 'Kayla', 'especie': 'Conejo', 'raza': 'cell', 'edad': 18, 'propietario': 1166}]"
1167,Dana Hall,ysimpson@example.com,0017755123652,"[{'id': 2396, 'nombre': 'Christopher', 'especie': 'Iguana', 'raza': 'artist', 'edad': 11, 'propietario': 1167}]"
1168,Gregory Cunningham,ocole@example.org,8192723179,"[{'id': 6545, 'nombre': 'Kimberly', 'especie': 'Iguana', 'raza': 'open', 'edad': 18, 'propietario': 1168}]"
1169,Carolyn Anderson,drios@example.com,28747107776899,"[{'id': 1829, 'nombre': 'Michelle', 'especie': 'Gato', 'raza': 'word', 'edad': 18, 'propietario': 1169}, {'id': 5144, 'nombre': 'Cynthia', 'especie': 'Iguana', 'raza': 'challenge', 'edad': 12, 'propietario': 1169}]"
1170,Michael Berry,hernandeztimothy@example.org,8727378672,"[{'id': 7251, 'nombre': 'Sandra', 'especie': 'Perro', 'raza': 'total', 'edad': 3, 'propietario': 1170}]"
1171,Tiffany Rodriguez,jasonmiller@example.com,17867416610,"[{'id': 854, 'nombre': 'Leslie', 'especie': 'Iguana', 'raza': 'build', 'edad': 13, 'propietario': 1171}, {'id': 5029, 'nombre': 'William', 'especie': 'Iguana', 'raza': 'bar', 'edad': 12, 'propietario': 1171}, {'id': 11558, 'nombre': 'Cheyenne', 'especie': 'Perro', 'raza': 'floor', 'edad': 9, 'propietario': 1171}]"
1172,Nicole Williams,courtneyphillips@example.com,4659305462,"[{'id': 939, 'nombre': 'Megan', 'especie': 'Iguana', 'raza': 'mother', 'edad': 7, 'propietario': 1172}, {'id': 9144, 'nombre': 'Lisa', 'especie': 'Perro', 'raza': 'throughout', 'edad': 1, 'propietario': 1172}, {'id': 10153, 'nombre': 'Andrew', 'especie': 'Loro', 'raza': 'customer', 'edad': 2, 'propietario': 1172}]"
1173,Clinton Jones,jennifer47@example.net,6546634967,"[{'id': 1373, 'nombre': 'Connie', 'especie': 'Perro', 'raza': 'property', 'edad': 9, 'propietario': 1173}, {'id': 3539, 'nombre': 'Brianna', 'especie': 'Conejo', 'raza': 'car', 'edad': 20, 'propietario': 1173}, {'id': 7073, 'nombre': 'James', 'especie': 'Gato', 'raza': 'clear', 'edad': 15, 'propietario': 1173}]"
1174,Samantha Mooney,randerson@example.org,79567441505940,"[{'id': 1548, 'nombre': 'Emily', 'especie': 'Conejo', 'raza': 'something', 'edad': 1, 'propietario': 1174}, {'id': 3761, 'nombre': 'Melinda', 'especie': 'Loro', 'raza': 'development', 'edad': 13, 'propietario': 1174}, {'id': 5426, 'nombre': 'Melissa', 'especie': 'Gato', 'raza': 'standard', 'edad': 5, 'propietario': 1174}, {'id': 11491, 'nombre': 'Mitchell', 'especie': 'Conejo', 'raza': 'last', 'edad': 15, 'propietario': 1174}]"
1175,William Haney,kenneth82@example.org,482892436925507,"[{'id': 10823, 'nombre': 'Kathleen', 'especie': 'Loro', 'raza': 'before', 'edad': 6, 'propietario': 1175}, {'id': 11042, 'nombre': 'Dawn', 'especie': 'Loro', 'raza': 'according', 'edad': 12, 'propietario': 1175}, {'id': 12136, 'nombre': 'Kenneth', 'especie': 'Conejo', 'raza': 'think', 'edad': 14, 'propietario': 1175}]"
1176,Melissa Compton,amandawebb@example.com,42866063136490,"[{'id': 6199, 'nombre': 'Jacob', 'especie': 'Perro', 'raza': 'grow', 'edad': 13, 'propietario': 1176}]"
1177,Elizabeth Hernandez,anthonybarnett@example.net,5102217519,"[{'id': 110, 'nombre': 'Ronald', 'especie': 'Gato', 'raza': 'author', 'edad': 6, 'propietario': 1177}, {'id': 943, 'nombre': 'Julie', 'especie': 'Conejo', 'raza': 'myself', 'edad': 10, 'propietario': 1177}, {'id': 5462, 'nombre': 'Haley', 'especie': 'Perro', 'raza': 'fact', 'edad': 4, 'propietario': 1177}, {'id': 8365, 'nombre': 'William', 'especie': 'Iguana', 'raza': 'build', 'edad': 10, 'propietario': 1177}]"
1178,Jason Hughes,amy55@example.com,846884948390336,"[{'id': 6655, 'nombre': 'Michael', 'especie': 'Gato', 'raza': 'step', 'edad': 7, 'propietario': 1178}]"
1179,Michael Hodges,tbarron@example.com,4477208028392,"[{'id': 11917, 'nombre': 'Michelle', 'especie': 'Perro', 'raza': 'share', 'edad': 18, 'propietario': 1179}]"
1180,Samantha Montgomery,gary32@example.com,68579246841643,"[{'id': 2683, 'nombre': 'Johnny', 'especie': 'Loro', 'raza': 'name', 'edad': 16, 'propietario': 1180}, {'id': 5634, 'nombre': 'Tammy', 'especie': 'Loro', 'raza': 'follow', 'edad': 15, 'propietario': 1180}, {'id': 9787, 'nombre': 'Rachel', 'especie': 'Gato', 'raza': 'take', 'edad': 13, 'propietario': 1180}]"
1181,Justin Jones,oliviagraham@example.net,8995255211099,"[{'id': 1695, 'nombre': 'Eric', 'especie': 'Perro', 'raza': 'should', 'edad': 9, 'propietario': 1181}, {'id': 4803, 'nombre': 'Megan', 'especie': 'Loro', 'raza': 'thought', 'edad': 13, 'propietario': 1181}, {'id': 9177, 'nombre': 'Pamela', 'especie': 'Iguana', 'raza': 'challenge', 'edad': 6, 'propietario': 1181}, {'id': 10797, 'nombre': 'Alexandra', 'especie': 'Loro', 'raza': 'me', 'edad': 6, 'propietario': 1181}]"
1182,Summer Hammond,wileyjoann@example.com,8745479758,"[{'id': 3245, 'nombre': 'Courtney', 'especie': 'Loro', 'raza': 'sell', 'edad': 10, 'propietario': 1182}, {'id': 6870, 'nombre': 'Kimberly', 'especie': 'Gato', 'raza': 'but', 'edad': 4, 'propietario': 1182}, {'id': 9158, 'nombre': 'Kelly', 'especie': 'Conejo', 'raza': 'spring', 'edad': 7, 'propietario': 1182}]"
1183,Jennifer Moore,fcline@example.org,001416931000439060,"[{'id': 370, 'nombre': 'Nancy', 'especie': 'Loro', 'raza': 'choose', 'edad': 8, 'propietario': 1183}, {'id': 7113, 'nombre': 'Jenna', 'especie': 'Perro', 'raza': 'mission', 'edad': 13, 'propietario': 1183}, {'id': 10448, 'nombre': 'Amy', 'especie': 'Loro', 'raza': 'bar', 'edad': 2, 'propietario': 1183}]"
1184,James Lang,saracopeland@example.org,6427969584411,"[{'id': 2171, 'nombre': 'Nancy', 'especie': 'Conejo', 'raza': 'teacher', 'edad': 10, 'propietario': 1184}, {'id': 2841, 'nombre': 'Vernon', 'especie': 'Loro', 'raza': 'police', 'edad': 3, 'propietario': 1184}, {'id': 6809, 'nombre': 'Martha', 'especie': 'Conejo', 'raza': 'final', 'edad': 2, 'propietario': 1184}, {'id': 11943, 'nombre': 'Kelly', 'especie': 'Iguana', 'raza': 'resource', 'edad': 13, 'propietario': 1184}]"
1185,Cory Hubbard,mitchellkyle@example.net,2529842571,"[{'id': 8183, 'nombre': 'Stephanie', 'especie': 'Conejo', 'raza': 'similar', 'edad': 5, 'propietario': 1185}]"
1186,Walter Dillon,hollandamber@example.org,967410462816378,"[{'id': 743, 'nombre': 'John', 'especie': 'Conejo', 'raza': 'impact', 'edad': 5, 'propietario': 1186}, {'id': 1644, 'nombre': 'Stephanie', 'especie': 'Conejo', 'raza': 'main', 'edad': 10, 'propietario': 1186}, {'id': 2950, 'nombre': 'Dawn', 'especie': 'Gato', 'raza': 'move', 'edad': 14, 'propietario': 1186}]"
1187,Vanessa Jones,barnestyler@example.net,1794395297730927,"[{'id': 7986, 'nombre': 'Alicia', 'especie': 'Iguana', 'raza': 'listen', 'edad': 4, 'propietario': 1187}, {'id': 8831, 'nombre': 'Laura', 'especie': 'Conejo', 'raza': 'authority', 'edad': 16, 'propietario': 1187}, {'id': 9987, 'nombre': 'Michelle', 'especie': 'Iguana', 'raza': 'join', 'edad': 13, 'propietario': 1187}, {'id': 10753, 'nombre': 'Mark', 'especie': 'Perro', 'raza': 'trouble', 'edad': 16, 'propietario': 1187}]"
1188,Kyle Garcia,zgarcia@example.com,0018739362144,"[{'id': 5656, 'nombre': 'Amanda', 'especie': 'Iguana', 'raza': 'notice', 'edad': 2, 'propietario': 1188}]"
1189,Christian Wiggins,christinehernandez@example.net,7347559985,"[{'id': 546, 'nombre': 'Scott', 'especie': 'Loro', 'raza': 'cause', 'edad': 3, 'propietario': 1189}, {'id': 4088, 'nombre': 'Tom', 'especie': 'Loro', 'raza': 'federal', 'edad': 4, 'propietario': 1189}, {'id': 5153, 'nombre': 'Christopher', 'especie': 'Loro', 'raza': 'watch', 'edad': 10, 'propietario': 1189}, {'id': 11213, 'nombre': 'Charles', 'especie': 'Conejo', 'raza': 'whole', 'edad': 3, 'propietario': 1189}]"
1190,Nicholas Morales PhD,jeffrey08@example.org,884688110462037,"[{'id': 8838, 'nombre': 'Michael', 'especie': 'Perro', 'raza': 'fast', 'edad': 16, 'propietario': 1190}, {'id': 11799, 'nombre': 'Susan', 'especie': 'Iguana', 'raza': 'coach', 'edad': 9, 'propietario': 1190}]"
1191,Christopher Hernandez,michaelbryan@example.net,19177806048,[]
